first_name,middle_name,last_name,alien_number,date_of_birth,country_of_birth,facility_name,facility_location,custody_status,last_updated
JORGE,GONZALEZ-DE,DIOS,A768352448,1999-12-21,Argentina,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JORGE,,GUARCHAJ,A761732959,1975-12-31,Mexico,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
JORGE,,HERNANDEZ-CALDERON,A940019039,1987-09-17,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JORGE,,NUNEZ-PEREZ,A383976655,1970-05-20,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JORGE,,RAMIREZ-CRUZ,A682667588,1978-07-13,El Salvador,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
JORGE,RAMSES GOMEZ,FIGUEROA,A243640773,1969-11-25,Costa Rica,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JORGE,,ZETINO-CORTEZ,A249791086,1979-12-06,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,ABREGO-MEJIA,A697154763,2002-07-19,Guatemala,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
JOSE,,AYALA-MORALES,A381099417,1971-10-02,Bolivia,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
JOSE,CACERES,GONZALES,A482636806,1960-12-21,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,CONZA,PALADINES,A803770907,1996-08-18,Venezuela,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,CORTEZ,FERRERA,A323112931,1979-02-28,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,CRUZ Y,CRUZ,A699288052,1989-09-02,Bolivia,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JOSE,DANIEL LEDEZMA,LEDEZMA,A472541381,1992-12-14,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JOSE,DONALD,VELASQUEZ-RUGAMA,A411579240,2002-06-12,Ecuador,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,FAIFE,BROCHE,A929567905,2000-04-10,Argentina,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,,FORTIN,A483099195,2001-09-05,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JOSE,GARCIA,SANCHEZ,A726753933,2003-02-24,Ecuador,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,GOMEZ-MIGUEL,A140260105,2005-09-08,Venezuela,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
JOSE,,GOVANTES-PAREDES,A41560006,1993-01-31,Guatemala,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
JOSE,,HERNANDEZ-CRUZ,A42635917,1970-02-15,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JOSE,,HERRERA-AJXUP,A220443539,1978-02-03,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,JIMENEZ,MORADO,A510821811,2005-10-26,Brazil,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,JIMENEZ-MARTINEZ,A306475678,1967-11-03,Costa Rica,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,JOVANNY GONZALEZ,LEAL,A184949891,2004-08-05,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,,LAYNES-JACOBO,A615980123,1992-06-02,Argentina,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
JOSE,LOPEZ,JIMENEZ,A26381170,1980-01-16,Honduras,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
JOSE,,LUX-SANTIAGO,A561730266,2005-02-10,Bolivia,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
JOSE,MIRANDA DA,SILVA,A116957450,1976-11-23,Mexico,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JOSE,,MONTESINO,A374847582,1984-07-01,Guatemala,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JOSE,,MORALES-TURINO,A180354594,1991-10-20,Mexico,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,,MURILLO-CASTRO,A616656050,1977-04-10,Argentina,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
JOSE,PALMERO,BAZAN,A650801326,2007-01-01,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
JOSE,,PAREDES-BOXTHA,A221356125,1979-01-23,Bolivia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,PERALTA,SANCHEZ,A692015331,1997-12-22,Peru,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,,PEREZ,A440707641,1984-12-11,Ecuador,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,PEREZ-CAMPERO,A842986071,1993-12-28,Peru,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
JOSE,PORTILLO,CARDONA,A408717637,1960-12-11,Colombia,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JOSE,RAFAEL,ULERIO,A732594560,1998-11-08,Peru,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,RODRIGUEZ-MEJIA,A764069782,1967-10-02,Colombia,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
JOSE,,RUBIO-CASARES,A19011982,1980-08-20,Venezuela,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JOSE,,RUIZ-SALGADO,A643135170,1962-08-13,Ecuador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
JOSE,SANCHEZ,VARGAS,A109529905,1986-06-07,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JOSE,SANTIZ,ABARCA,A589271941,1982-11-09,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSE,,TERRONES-GARCIA,A316341344,1971-06-08,Guatemala,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,TREJO,BELTRAN,A988849220,1984-05-02,El Salvador,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
JOSE,,VALLECILLO,A134862264,1980-04-03,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JOSUE,,CASTELLANOS-GOMEZ,A581848424,2004-01-26,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
JOVANNY,WILMER CHACON,CLAVIJO,A527461544,1964-06-17,Venezuela,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
JUAN,,ABARCA-MARCELINO,A882836591,1989-10-16,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
JUAN,ALMANZA-LA,BARCA,A379308246,1991-05-08,Panama,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,ANTONIO,RIVERA-AGUIRIANO,A517886781,1977-12-19,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,ARANGO,MATALLANA,A678364686,1961-01-03,Brazil,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
JUAN,,BENAVIDES-GONZALEZ,A94335284,1980-04-14,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
JUAN,,CABALLERO-VALERIO,A727044973,1980-12-29,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
JUAN,,CAC-RAX,A324802744,1984-05-18,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
JUAN,CRUZ,CISNERO,A798383769,1977-10-12,Peru,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JUAN,,FERNANDEZ-COTO,A803181217,1997-01-08,Brazil,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
JUAN,GOMEZ DE LA,CRUZ,A163891313,1976-06-10,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
JUAN,GUTIERREZ,SANTIZ,A570558514,2000-02-15,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,,GUZMAN-TOLENTINO,A379191907,1969-10-15,Mexico,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
JUAN,,HERNANDEZ-PEREZ,A350488661,2004-03-01,Argentina,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
JUAN,JARAMILLO,VASQUEZ,A843289247,1997-04-25,Chile,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,JAVIER,GONZALEZ,A901870229,2004-07-24,Chile,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,,JIMENEZ-LOPEZ,A514995069,1969-05-16,Chile,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
JUAN,LOZANO SAN,MIGUEL,A784579971,1975-12-30,Bolivia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
JUAN,OSWALDO,RODRIGUEZ-HERNANDEZ,A246608628,1973-12-08,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
JUAN,OXLAJ,ITZEP,A928537327,1971-12-26,Colombia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,REQUENA,PEDRA,A105615971,2007-08-21,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
JUAN,,RUIZ,A47646866,1968-03-26,El Salvador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
JUAN,,TOJIN-TIQUIRAM,A413149661,1965-03-02,Venezuela,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
JUAN,URBINA,TRINIDAD,A879723032,1975-06-12,Nicaragua,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
JUAN,,US-TUM,A715807953,1972-10-15,Bolivia,Miami Processing Center,"Miami, FL",In Detention,2025-08-28 23:32:49
JUAN,VALDEZ,FLORES,A164607914,1988-01-15,Colombia,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
JUAN,VARON,OSORIO,A318661991,1985-05-29,Panama,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
JULIAN,PAULINO,REYNOSO,A367327551,1979-11-13,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
JULIAN,,REYES-BAUTISTA,A994281159,1968-10-01,Guatemala,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
JULIAN,VAIL,LUCAS,A41889817,1982-05-04,Argentina,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JULIO,DIAS RIBEIRO,CHAVES,A197920432,1994-08-25,Chile,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JULIO,,RIVERA,A714796108,1972-10-03,Chile,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
JULIO,SEVA,ARZRADA,A137339062,1992-05-07,Honduras,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
JUNIOR,,ARREDONDO-ACOSTA,A663632744,1971-08-04,Bolivia,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
JUNIOR,JOVEL,TORRES,A157957596,1992-09-15,Honduras,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
JUNNIOR,,SOTO-GALVEZ,A413253135,1976-09-14,Argentina,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
KEDUIN,GOMEZ,MENJIVAR,A865859711,2006-10-30,Ecuador,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
KELVIN,,RODRIGUEZ,A48953681,1996-04-13,Bolivia,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
KENNY,FRANCHI,ALFARO,A892928094,1993-12-31,Venezuela,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
KENTON,,SANDS,A988116549,2004-04-30,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
KERSON,,THEODORE-GARTH,A32236150,1978-12-25,Chile,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
KEVIN,,GUEVARA-CAMAJA,A555795142,1995-03-30,Guatemala,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
KEVIN,,ORELLANO,A849157377,1975-11-30,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
KEVIN,RUIZ,REYES,A244430993,1988-09-14,Bolivia,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
KEVIN,VASQUEZ,HERNANDEZ,A875184832,1976-10-19,Panama,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
KEYSER,ALEXI SOJO,MONSALVE,A361399578,2006-04-04,Chile,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
KINSKE,SAINT,VILUS,A749117600,1973-03-02,Panama,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
LAURO,MARTINEZ,ROQUE,A747135386,1969-05-09,Mexico,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
LAZARO,BARBARO ALVAREZ,VAZQUEZ,A619507689,1996-05-21,Mexico,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
LAZARO,ROOROUEZ,SANTANA,A903471381,1986-12-13,Peru,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
LEAMSY,IZQUIERDO,MOLINA,A569292658,1986-11-06,Colombia,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
LEOMAR,JOSE,GUDINO-TERAN,A80735091,2006-02-19,Bolivia,Florida State Prison,"Starke, FL",Released on Bond,2025-08-28 23:32:49
LEONARDO,,MEDINA-SALAZAR,A458100980,1989-07-30,Nicaragua,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
LEOPOLDO,RODRIGUEZ,RODRIGUEZ,A485888485,1992-10-04,Mexico,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
LESTER,COMPA,MARTINEZ,A223905402,1964-02-21,Chile,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
LESTER,COSTANSA,ESCOBAR,A868765871,2002-09-25,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
LINO,TIXI,PUNINA,A449927654,1995-12-18,Guatemala,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
LINSINI,,MASSILLON,A853379588,1962-07-08,Chile,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
LUCAS,CATUN,YAT,A312864294,1965-03-31,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
LUCAS,NAVA,AHUEXOTECO,A754196601,1975-03-10,Mexico,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
LUCIANO,DE,SOUZA-MANGO,A762088388,1967-09-06,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
LUCIANO,,ZARATE,A426665528,1961-05-10,Venezuela,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
LUCIO,,HERNANDEZ-ITZEL,A187135599,2004-08-04,Venezuela,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
LUCKNERSON,,SAINT-PHARD,A710619681,1991-08-20,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
LUDYN,ESCOBAR,VASQUEZ,A73106195,1984-01-19,Peru,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
LUIS,ANTONIO PAULINO,TAVERAS,A549641720,1962-06-24,Peru,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,ARAGON,AGUILA,A670293656,1978-04-01,Mexico,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,,CARRASCO-ANZOLA,A751384715,2003-12-17,Brazil,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
LUIS,CHAMORRO,LUNA,A552012723,2000-01-11,Brazil,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,DONALDO,CORADO,A414264747,1977-12-31,El Salvador,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
LUIS,ESCOBAR,SALAZAR,A689992320,1970-08-11,Peru,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
LUIS,GASTON,SANCHEZ,A516225172,1973-11-04,Brazil,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,,GOMEZ-VASQUEZ,A951597961,2002-04-17,Venezuela,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,,GUZMAN-CENTENO,A718083973,1968-10-24,Venezuela,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
LUIS,HUMBERTO MORALES,MARTINEZ,A513787956,2001-08-26,Chile,Florida State Prison,"Starke, FL",In Detention,2025-08-28 23:32:49
LUIS,,LEZAMA-RAMIREZ,A341655464,1979-09-01,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
LUIS,,MERIDA-CANO,A942048549,1964-08-26,Chile,Florida State Prison,"Starke, FL",Processing,2025-08-28 23:32:49
LUIS,,MORALES,A399531633,1980-12-18,Costa Rica,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
LUIS,PONCE,MEMBRENO,A223413791,1999-10-20,Panama,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
LUIS,,RAPALO-ORELLANA,A608024471,2002-07-29,El Salvador,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
LUIS,,REYES-REYES,A468984593,1989-01-27,Ecuador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
LUIS,RODRIGUEZ,PETRILLO,A793592769,1995-09-04,Bolivia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
MAGUIBER,,GARCIA-DOMINGO,A367002243,1976-06-08,Chile,Orange County Jail,"Orlando, FL",Awaiting Hearing,2025-08-28 23:32:49
MAIKEL,,AMADOR-DIAZ,A289136301,1975-10-22,Ecuador,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
MAIKEL,WILLIAM,MILIAN-TALAVERA,A32645307,2006-12-21,Guatemala,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
MAIKOL,YOEL BLANCO,TRAVIESO,A970492941,1995-06-17,Venezuela,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
MALAGON-MENDOZA,,CECILIO,A614271532,1969-07-03,Honduras,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
MANAURY,,OLIVAREZ-GEORGE,A798859089,1994-05-23,Costa Rica,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
MANUEL,ESTRADA,ESTRADA,A196147873,1974-09-26,Mexico,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
MANUEL,,ORDONEZ-MENDOZA,A738837713,1964-04-29,Colombia,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
MANUEL,,YAXCAL-BA,A217775472,1961-04-12,El Salvador,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
MARCELINO,,HERNANDEZ-BELLO,A887777350,1966-09-04,Brazil,Alligator Alcatraz Detention Center,"Everglades, FL",In Detention,2025-08-28 23:32:49
MARCELO,SVADA,COSTA,A737206924,1979-07-17,Venezuela,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
MARCO,ARTEMIO SOLIS,HERNANDEZ,A461465091,1973-09-08,Panama,Broward Transitional Center,"Pembroke Pines, FL",Released on Bond,2025-08-28 23:32:49
MARCO,,GONZALEZ-CASTILLO,A196353308,1990-12-24,Colombia,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
MARCOS,OLIVERA,LEON,A683003117,2000-06-10,Colombia,Florida State Prison,"Starke, FL",Awaiting Deportation,2025-08-28 23:32:49
MARCOS,PUIG,RODRIGUEZ,A607854118,1973-06-15,Ecuador,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
MARCOS,,REYES-GOMEZ,A742530950,1982-02-10,Venezuela,Orange County Jail,"Orlando, FL",Released on Bond,2025-08-28 23:32:49
MARDIN,DE,LEON-CARRILLO,A501892708,1979-04-29,Costa Rica,Alligator Alcatraz Detention Center,"Everglades, FL",Processing,2025-08-28 23:32:49
MARIANO,,CARRILLO-ESCOBEDO,A608259586,2001-04-12,Chile,Broward Transitional Center,"Pembroke Pines, FL",Processing,2025-08-28 23:32:49
MARIN,,ARRIAGA-LOPEZ,A441106227,1973-09-08,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
MARIO,DAVID MENDEZ,PEREZ,A242541643,2000-11-01,Panama,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
MARIO,GARCIA,TEJADA,A508816980,1986-04-25,Colombia,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
MARIO,JIMENEZ,FUENTES,A212097370,1975-10-31,Mexico,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
MARIO,REVES,REYES,A678960853,1999-04-21,Bolivia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
MARIO,,RODRIGUEZ-HERNANDEZ,A780451784,1986-09-29,Bolivia,Miami Processing Center,"Miami, FL",Awaiting Hearing,2025-08-28 23:32:49
MARLON,LLERENA,SORIZ,A937375783,2004-03-16,Costa Rica,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
MAROS,,FLORES-SANCHEZ,A699023916,1978-11-15,Venezuela,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
MARVIN,MAGANA,MADRID,A341818149,1976-05-30,Costa Rica,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
MARVIN,,ROMERO-VELASQUEZ,A89800327,1974-02-05,Ecuador,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
MATEO,,GONZALEZ-REYES,A875915693,1988-09-02,Argentina,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Deportation,2025-08-28 23:32:49
MATEO,LUIS,JESUS,A459608344,2007-07-13,Colombia,Orange County Jail,"Orlando, FL",Awaiting Deportation,2025-08-28 23:32:49
MATEO,PEREZ,MARTINEZ,A78441660,1971-03-26,Nicaragua,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
MATHEUS,,MACEDO-ARAGAO,A625141964,2005-04-13,Guatemala,Miami Processing Center,"Miami, FL",Released on Bond,2025-08-28 23:32:49
MATIAS,ALONZO,ANDRES,A760215641,1965-10-09,Guatemala,Palm Beach County Jail,"West Palm Beach, FL",Processing,2025-08-28 23:32:49
MATILDE,,JIMON-CASTILLO,A874133425,1972-01-04,Venezuela,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
MAURICIO,CELESTINO,DIAS,A808660288,1963-12-21,Honduras,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Hearing,2025-08-28 23:32:49
MAURICIO,CHAVEZ,ROMERO,A975650517,1986-10-20,Chile,Miami Processing Center,"Miami, FL",Processing,2025-08-28 23:32:49
MAURILIO,,CAAL-ICAL,A666292499,1975-03-01,Chile,Orange County Jail,"Orlando, FL",In Detention,2025-08-28 23:32:49
MAYNOR,DIAZ,HERNANDEZ,A188984915,1968-02-08,Colombia,Alligator Alcatraz Detention Center,"Everglades, FL",Released on Bond,2025-08-28 23:32:49
MAYRO,AQUILERA,SANCHEZ,A232888259,1991-03-21,Nicaragua,Palm Beach County Jail,"West Palm Beach, FL",Released on Bond,2025-08-28 23:32:49
MELVIN,,SILVA-CABALLERO,A662239260,2007-04-26,Venezuela,Alligator Alcatraz Detention Center,"Everglades, FL",Awaiting Deportation,2025-08-28 23:32:49
MELVIN,,XOL-PANA,A848469970,1996-01-05,Venezuela,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
MEYVIN,JIMENEZ,AMAYA,A739376258,1970-01-17,Argentina,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Deportation,2025-08-28 23:32:49
MICHAEL,,AVALO-MELENDEZ,A669147391,1992-11-02,Ecuador,Palm Beach County Jail,"West Palm Beach, FL",In Detention,2025-08-28 23:32:49
MICHAEL,BORREGO,FERNANDEZ,A909936265,1963-08-06,Argentina,Broward Transitional Center,"Pembroke Pines, FL",Awaiting Hearing,2025-08-28 23:32:49
MICHAEL,,GREENLAND,A986335932,1995-01-28,Chile,Palm Beach County Jail,"West Palm Beach, FL",Awaiting Hearing,2025-08-28 23:32:49
MICHEL,SEGUNDO,FELIX,A318806024,1974-12-01,El Salvador,Broward Transitional Center,"Pembroke Pines, FL",In Detention,2025-08-28 23:32:49
MIGUEL,ANTONIO HERNANDEZ,GOMEZ,A442152852,1994-12-30,Mexico,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
MIGUEL,,ARGUETA,A931075913,1987-05-24,Argentina,Orange County Jail,"Orlando, FL",Processing,2025-08-28 23:32:49
MIGUEL,,CASTRO-LOPEZ,A611404843,1974-11-26,Guatemala,Miami Processing Center,"Miami, FL",Awaiting Deportation,2025-08-28 23:32:49
MIGUEL,GOMEZ,PEREZ,A797666656,1978-03-10,El Salvador,Florida State Prison,"Starke, FL",Awaiting Hearing,2025-08-28 23:32:49
